state,2018,2017,2016,2015
Alabama,"37,261","36,856","36,538","36,660"
Alaska,"63,971","67,705","67,411","69,700"
Arizona,"38,590","38,414","38,427","38,303"
Arkansas,"36,368","36,196","36,249","35,865"
California,"58,619","57,328","55,374","53,855"
Colorado,"52,795","52,622","52,019","50,475"
Connecticut,"64,511","63,747","62,236","62,550"
Delaware,"63,664","64,040","63,271","60,719"
District of Columbia,"160,472","159,227","159,395","159,497"
Florida,"39,543","39,093","38,398","38,023"
Georgia,"44,723","43,913","43,313","42,500"
Hawaii,"51,277","50,320","49,497","49,539"
Idaho,"35,466","35,467","35,099","34,748"
Illinois,"54,091","53,432","52,795","51,963"
Indiana,"45,317","44,797","44,577","43,866"
Iowa,"50,315","50,086","49,218","48,002"
Kansas,"46,982","46,890","46,003","45,470"
Kentucky,"38,985","38,603","38,298","38,247"
Louisiana,"43,917","44,293","44,254","43,725"
Maine,"38,921","38,450","38,014","37,477"
Maryland,"55,404","54,894","54,003","53,765"
Massachusetts,"65,545","64,507","62,510","61,882"
Michigan,"43,372","42,631","41,514","40,993"
Minnesota,"53,704","53,380","53,005","51,999"
Mississippi,"31,881","31,633","31,522","31,923"
Missouri,"43,317","42,943","42,442","42,487"
Montana,"39,356","39,686","39,214","38,476"
Nebraska,"53,114","52,878","53,099","51,565"
Nevada,"43,820","43,649","42,927","43,075"
New Hampshire,"51,794","50,456","49,480","48,871"
New Jersey,"57,084","56,472","55,635","55,750"
New Mexico,"41,348","41,577","40,842","39,659"
New York,"64,579","64,093","63,420","62,444"
North Carolina,"44,325","44,096","43,372","42,945"
North Dakota,"62,837","67,305","71,056","67,651"
Ohio,"47,567","46,826","46,385","45,254"
Oklahoma,"44,623","45,864","45,007","43,288"
Oregon,"50,582","49,792","48,342","48,094"
Pennsylvania,"50,997","50,418","49,155","48,278"
Rhode Island,"47,639","47,118","46,668","46,356"
South Carolina,"37,063","36,796","36,295","35,701"
South Dakota,"48,076","47,706","46,776","46,869"
Tennessee,"43,267","42,797","41,828","41,487"
Texas,"53,795","54,421","52,993","52,018"
United States,"50,577","50,155","49,253","48,538"
Utah,"44,636","44,204","43,069","42,267"
Vermont,"43,946","43,495","43,039","42,914"
Virginia,"51,736","51,716","50,803","51,106"
Washington,"56,831","55,780","55,001","54,161"
West Virginia,"36,315","36,453","36,161","35,755"
Wisconsin,"47,266","46,859","46,340","45,845"
Wyoming,"58,821","60,908","61,417","60,770"