state,2019
Alabama,"47,735"
Alaska,"76,220"
American Samoa,"11,200"
Arizona,"51,179"
Arkansas,"44,808"
California,"80,563"
Colorado,"68,828"
Connecticut,"81,055"
Delaware,"78,468"
District of Columbia,"200,277"
Florida,"51,745"
Georgia,"58,896"
Guam,"35,600"
Hawaii,"69,593"
Idaho,"46,043"
Illinois,"71,727"
Indiana,"56,702"
Iowa,"62,493"
Kansas,"60,310"
Kentucky,"48,697"
Louisiana,"57,445"
Maine,"50,915"
Maryland,"71,838"
Massachusetts,"86,942"
Michigan,"54,928"
Minnesota,"68,427"
Mississippi,"40,464"
Missouri,"54,879"
Montana,"49,540"
Nebraska,"66,737"
Nevada,"58,570"
New Hampshire,"66,069"
New Jersey,"73,451"
New Mexico,"50,022"
New York,"90,043"
North Carolina,"56,862"
North Dakota,"75,321"
Northern Mariana Islands,"24,500"
Ohio,"60,464"
Oklahoma,"52,409"
Oregon,"60,558"
Pennsylvania,"64,412"
Puerto Rico,"31,651"
Rhode Island,"60,830"
South Carolina,"48,547"
South Dakota,"61,104"
Tennessee,"56,451"
Texas,"66,149"
U.S. Virgin Islands,"37,000"
United States,"65,281"
Utah,"59,892"
Vermont,"56,525"
Virginia,"65,824"
Washington,"80,170"
West Virginia,"43,806"
Wisconsin,"60,425"
Wyoming,"68,757"